2.750000,5.000000,0.474158,0.714353
2.750000,5.100000,0.467402,0.749214
2.750000,5.200000,0.460754,0.784662
2.750000,5.300000,0.454218,0.820591
2.750000,5.400000,0.447795,0.856968
2.750000,5.500000,0.441489,0.893795
2.750000,5.600000,0.435298,0.931088
2.750000,5.700000,0.429222,0.968873
2.750000,5.800000,0.423261,1.007181
2.750000,5.900000,0.417412,1.046045
2.750000,6.000000,0.411673,1.085501
2.750000,6.100000,0.406044,1.125584
2.750000,6.200000,0.400520,1.166332
2.750000,6.300000,0.395100,1.207782
2.750000,6.400000,0.389782,1.249970
2.750000,6.500000,0.384563,1.292934
2.750000,6.600000,0.379439,1.336709
2.750000,6.700000,0.374410,1.381332
2.750000,6.800000,0.369471,1.426837
2.750000,6.900000,0.364622,1.473258
2.750000,7.000000,0.359859,1.520625
2.750000,7.100000,0.355179,1.568967
2.750000,7.200000,0.350582,1.618306
2.750000,7.300000,0.346063,1.668660
2.750000,7.400000,0.341622,1.720037
2.750000,7.500000,0.337256,1.772432
2.750000,7.600000,0.332962,1.825821
2.750000,7.700000,0.328740,1.880149
